"date","aqs","pm25","o3"
2024-01-06 07:00:00,"Pinheiros",4,41
2024-01-06 08:00:00,"Pinheiros",2,43
2024-01-06 09:00:00,"Pinheiros",3,33
2024-01-06 10:00:00,"Pinheiros",3,49
2024-01-06 11:00:00,"Pinheiros",1,68
2024-01-06 12:00:00,"Pinheiros",6,94
2024-01-06 13:00:00,"Pinheiros",2,107
2024-01-06 14:00:00,"Pinheiros",7,104
2024-01-06 15:00:00,"Pinheiros",6,120
2024-01-06 16:00:00,"Pinheiros",9,105
2024-01-06 17:00:00,"Pinheiros",14,89
2024-01-06 18:00:00,"Pinheiros",13,75
2024-01-06 19:00:00,"Pinheiros",16,55
2024-01-06 20:00:00,"Pinheiros",11,37
2024-01-06 21:00:00,"Pinheiros",11,39
2024-01-06 22:00:00,"Pinheiros",3,38
2024-01-06 23:00:00,"Pinheiros",14,37
2024-01-07 00:00:00,"Pinheiros",5,35
2024-01-07 01:00:00,"Pinheiros",7,37
2024-01-07 02:00:00,"Pinheiros",7,35
2024-01-07 03:00:00,"Pinheiros",8,37
2024-01-07 04:00:00,"Pinheiros",12,21
2024-01-07 05:00:00,"Pinheiros",4,16
2024-01-07 06:00:00,"Pinheiros",9,NA
2024-01-07 07:00:00,"Pinheiros",7,22
2024-01-07 08:00:00,"Pinheiros",5,20
2024-01-07 09:00:00,"Pinheiros",4,26
2024-01-07 10:00:00,"Pinheiros",0,38
2024-01-07 11:00:00,"Pinheiros",10,70
2024-01-07 12:00:00,"Pinheiros",3,102
2024-01-07 13:00:00,"Pinheiros",5,94
2024-01-07 14:00:00,"Pinheiros",5,87
2024-01-07 15:00:00,"Pinheiros",12,99
2024-01-07 16:00:00,"Pinheiros",22,93
2024-01-07 17:00:00,"Pinheiros",20,62
2024-01-07 18:00:00,"Pinheiros",14,60
2024-01-07 19:00:00,"Pinheiros",18,50
2024-01-07 20:00:00,"Pinheiros",21,42
2024-01-07 21:00:00,"Pinheiros",18,15
2024-01-07 22:00:00,"Pinheiros",19,3
2024-01-07 23:00:00,"Pinheiros",23,NA
2024-01-08 00:00:00,"Pinheiros",21,NA
2024-01-08 01:00:00,"Pinheiros",8,NA
2024-01-08 02:00:00,"Pinheiros",19,NA
2024-01-08 03:00:00,"Pinheiros",18,NA
2024-01-08 04:00:00,"Pinheiros",14,NA
2024-01-08 05:00:00,"Pinheiros",20,2
2024-01-08 06:00:00,"Pinheiros",17,NA
2024-01-08 07:00:00,"Pinheiros",24,NA
2024-01-08 08:00:00,"Pinheiros",11,6
2024-01-08 09:00:00,"Pinheiros",12,18
2024-01-08 10:00:00,"Pinheiros",0,55
2024-01-08 11:00:00,"Pinheiros",6,81
2024-01-08 12:00:00,"Pinheiros",5,99
2024-01-08 13:00:00,"Pinheiros",21,75
2024-01-08 14:00:00,"Pinheiros",21,57
2024-01-08 15:00:00,"Pinheiros",11,63
2024-01-08 16:00:00,"Pinheiros",NA,NA
2024-01-08 17:00:00,"Pinheiros",NA,NA
2024-01-08 18:00:00,"Pinheiros",NA,NA
2024-01-08 19:00:00,"Pinheiros",NA,NA
2024-01-08 20:00:00,"Pinheiros",NA,NA
2024-01-08 21:00:00,"Pinheiros",0,16
2024-01-08 22:00:00,"Pinheiros",2,10
2024-01-08 23:00:00,"Pinheiros",4,6
2024-01-09 00:00:00,"Pinheiros",3,2
2024-01-09 01:00:00,"Pinheiros",7,1
2024-01-09 02:00:00,"Pinheiros",15,4
2024-01-09 03:00:00,"Pinheiros",14,NA
2024-01-09 04:00:00,"Pinheiros",11,NA
2024-01-09 05:00:00,"Pinheiros",17,4
2024-01-09 06:00:00,"Pinheiros",10,8
2024-01-09 07:00:00,"Pinheiros",8,24
2024-01-09 08:00:00,"Pinheiros",9,25
2024-01-09 09:00:00,"Pinheiros",7,41
2024-01-09 10:00:00,"Pinheiros",2,52
2024-01-09 11:00:00,"Pinheiros",16,61
2024-01-09 12:00:00,"Pinheiros",7,87
2024-01-09 13:00:00,"Pinheiros",4,107
2024-01-09 14:00:00,"Pinheiros",5,117
2024-01-09 15:00:00,"Pinheiros",8,137
2024-01-09 16:00:00,"Pinheiros",24,115
2024-01-09 17:00:00,"Pinheiros",16,100
2024-01-09 18:00:00,"Pinheiros",17,86
2024-01-09 19:00:00,"Pinheiros",8,32
2024-01-09 20:00:00,"Pinheiros",14,3
2024-01-09 21:00:00,"Pinheiros",13,4
2024-01-09 22:00:00,"Pinheiros",17,3
2024-01-09 23:00:00,"Pinheiros",20,3
2024-01-10 00:00:00,"Pinheiros",20,2
2024-01-10 01:00:00,"Pinheiros",8,14
2024-01-10 02:00:00,"Pinheiros",15,13
2024-01-10 03:00:00,"Pinheiros",10,13
2024-01-10 04:00:00,"Pinheiros",15,28
2024-01-10 05:00:00,"Pinheiros",9,35
2024-01-10 06:00:00,"Pinheiros",8,20
2024-01-10 07:00:00,"Pinheiros",13,8
2024-01-10 08:00:00,"Pinheiros",10,17
2024-01-10 09:00:00,"Pinheiros",9,29
2024-01-10 10:00:00,"Pinheiros",1,47
2024-01-10 11:00:00,"Pinheiros",2,54
2024-01-10 12:00:00,"Pinheiros",1,66
2024-01-10 13:00:00,"Pinheiros",1,74
2024-01-10 14:00:00,"Pinheiros",3,78
2024-01-10 15:00:00,"Pinheiros",3,92
2024-01-10 16:00:00,"Pinheiros",10,85
2024-01-10 17:00:00,"Pinheiros",7,111
2024-01-10 18:00:00,"Pinheiros",49,83
2024-01-10 19:00:00,"Pinheiros",18,70
2024-01-10 20:00:00,"Pinheiros",15,46
2024-01-10 21:00:00,"Pinheiros",15,11
2024-01-10 22:00:00,"Pinheiros",11,41
2024-01-10 23:00:00,"Pinheiros",9,34
2024-01-11 00:00:00,"Pinheiros",3,30
